id,name
386,euskal indie
387,baton rouge rap
388,st petersburg fl indie
389,piano blues
390,bolivian metal
391,sudanese pop
392,melodic black metal
393,japanese post-hardcore
394,poezja spiewana
395,barbadian pop
396,swedish idol pop
397,classical saxophone quartet
398,irish hip hop
399,bc underground hip hop
400,medieval
401,nwocr
402,swamp pop
403,smooth jazz
404,glitch hop
405,deathcore
406,transpop
407,cowpunk
408,finnish punk
409,rap salvadoreno
410,norwegian alternative rock
411,cape breton folk
412,yoga
413,reggae rock
414,big band
415,backing track
416,brazilian indie
417,traditional folk
418,vallenato
419,deep big room
420,classic moroccan pop
421,future rock
422,charango
423,slamming deathcore
424,rock quebecois
425,andean flute
426,jazz rock
427,deep idm
428,deep southern trap
429,fourth world
430,j-indie
431,dreamo
432,west coast reggae
433,girl group
434,russian jazz
435,pei indie
436,kwaito house
437,fo jing
438,barnmusik
439,lancaster pa indie
440,tango
441,partyschlager
442,latvian hip hop
443,afro dancehall
444,breakcore
445,tipico
446,instrumental post-rock
447,audiophile vocal
448,straight-ahead jazz
449,deep jazz fusion
450,italian gothic
451,nu age
452,corrido
453,african percussion
454,samba
455,finnish hip hop
456,uk alternative hip hop
457,jig and reel
458,panamanian rock
459,pop violin
460,dutch indie rock
461,norwegian rock
462,euskal metal
463,bansuri
464,spanish hip hop
465,swedish indie pop
466,birdsong
467,deep comedy
468,french black metal
469,west virginia metal
470,japanese worship
471,indie cafe pop
472,rva indie
473,acoustic blues
474,crunk
475,brazilian edm
476,jazz organ
477,ghanaian gospel
478,brega
479,denpa-kei
480,norwegian contemporary jazz
481,belarusian pop
482,baroque singing
483,australian americana
484,york indie
485,swedish electropop
486,glam metal
487,baltic choir
488,reunion pop
489,jazz clarinet
490,vancouver indie
491,progressive electro house
492,vocal ensemble
493,early french punk
494,japanese garage rock
495,komedi
496,jazz quartet
497,classical string trio
498,finnish folk
499,danish metal
500,sholawat
501,brutal death metal
502,oi
503,mexican traditional
504,cabaret
505,korean pop
506,kinderchor
507,american choir
508,tech house
509,instrumental soul
510,chillhop
511,french dub
512,scottish folk
513,acoustic punk
514,christian rock
515,indonesian worship
516,native american flute
517,cosmic black metal
518,beninese pop
519,pop argentino
520,british comedy
521,chicano punk
522,rif
523,neoclassical
524,atmosphere
525,taiwan indie
526,gengetone
527,christian dance
