artist_id,genre_id
22871,1020
22871,515
22871,1823
22871,260
13504,3470
13504,669
23546,1174
23546,1144
23546,2874
6570,1883
6570,2098
6570,2425
6570,570
6570,3160
9489,1581
20828,126
20828,562
17438,2072
17438,2675
17438,2543
17438,1214
17438,3577
17438,2814
17438,1312
3787,3346
3787,2771
3787,267
3787,2257
3787,1233
3787,2459
3787,2752
12331,2633
12331,299
12265,432
12265,2896
12265,75
12265,1222
12265,936
18864,15
18864,3522
18864,3155
18864,410
18864,492
10997,570
2949,556
2949,991
2123,1252
2123,2885
2123,1813
2123,1591
714,2623
714,2019
714,2065
714,3160
13763,809
13763,2133
1440,1124
1440,575
1440,3786
1440,1960
1440,3598
1440,2193
1440,1495
9395,3254
9395,794
9395,1738
9395,1100
9395,2668
9395,1215
14690,1781
14690,3231
14690,3677
15113,1011
15113,2619
15113,2287
15113,627
15113,3154
1213,1982
1213,3382
1213,2341
1213,1727
6634,2164
9312,2185
6159,3488
12799,1938
12799,436
12799,2548
12799,793
11835,431
11835,3157
17986,3388
17986,575
17986,3013
17986,844
17986,3598
17986,2193
17986,1019
17986,954
17986,1495
12183,827
12183,2187
12183,372
12183,3610
12183,666
12183,418
12183,654
12183,2626
17430,1809
17430,1575
17430,1074
10653,2095
10653,2195
6412,1304
3548,2794
2408,402
2408,2414
2408,2338
2408,3159
2408,399
23622,869
8461,2268
8676,1038
8676,3607
8676,1011
8676,1865
8676,2214
8676,1148
10082,3135
10082,560
10082,1290
10082,844
10082,651
16250,1153
16250,3566
16250,1792
16250,2844
14332,2224
14332,199
14332,190
17364,1543
17364,976
17364,3134
17364,1751
2130,3013
2130,2901
2361,1747
2361,2759
2361,2292
2361,3712
2361,2397
2361,2487
15918,1616
15918,1252
15918,2885
15918,1903
15918,1591
19534,3680
19534,3388
19534,3013
19534,1225
19534,962
19534,332
19534,1091
19534,2193
22129,1594
22129,143
22129,337
22129,1842
8019,1848
8019,1346
8019,756
8019,1835
8019,318
506,1942
506,2896
506,188
1290,2310
1290,2847
1290,2601
1290,3558
1290,2548
1290,3034
1290,3517
19635,2258
19635,484
9451,721
22108,1378
22108,827
22108,372
22108,985
22108,666
22108,627
22108,1127
22108,1691
22108,654
22108,1827
22108,390
22108,2564
22108,1987
22108,1350
22108,1640
22108,2859
10306,1824
10306,669
15139,2675
15139,2294
20712,1158
20712,3635
5705,2573
5705,2337
5705,1520
16410,3385
16410,602
16410,1758
16410,831
16410,3558
16410,795
16410,2268
3319,3006
3319,1530
1312,2169
19642,2896
19642,2452
19642,976
19642,3134
2711,2165
