name,x,y,z,id,pagerank,cluster_id,parent_id,parent_name
scandipop,-19.319048000000002,9.795772,-0.36121255,2474,0.000121847,0,2193,edm
italo dance,-13.303946,6.307420700000001,0.8367933000000001,783,0.000104774,0,2193,edm
hip hop,2.1660457,13.799845999999999,-15.865332999999998,1214,0.003023618,1,1214,hip hop
finnish indie,3.155745,14.0855,-15.884332,2674,0.002979773,1,1214,hip hop
pop rap,3.6760309,15.241769,-15.834998,2294,0.002543899,1,1214,hip hop
indie soul,-5.0763354000000005,15.490244,-6.23399,2415,0.00213342,1,1214,hip hop
southern hip hop,4.0138110000000005,14.065460999999999,-15.612247,1283,0.0019559770000000002,1,1214,hip hop
minneapolis indie,4.413480799999999,13.446994,-15.344713,1056,0.001934709,1,1214,hip hop
gangster rap,3.4814076000000003,13.317279000000001,-16.55218,2814,0.001895027,1,1214,hip hop
escape room,-1.7899414,16.9671,-8.922314,3048,0.001600228,1,1214,hip hop
alternative r&b,-3.7420802,16.085562,-5.6933794,1148,0.0015296829999999998,1,1214,hip hop
indie r&b,-4.0615005,16.166824,-5.629347,1865,0.001454741,1,1214,hip hop
underground hip hop,4.969824299999999,9.818628,-12.819042999999999,2735,0.001409291,1,1214,hip hop
indie jazz,-5.691174,14.046942999999999,-6.9364724,1100,0.001170807,1,1214,hip hop
hardcore hip hop,0.84092814,13.463189000000002,-15.645007999999999,3577,0.001161487,1,1214,hip hop
alternative hip hop,-0.76612353,14.058356,-14.935835999999998,2602,0.001119156,1,1214,hip hop
disco,5.595386,14.441807,-14.861742999999999,1106,0.000916452,1,1214,hip hop
east coast hip hop,0.5741484,13.198098000000002,-15.073882000000001,1312,0.000868835,1,1214,hip hop
vapor trap,5.447833,10.466517999999999,-12.009025999999999,108,0.000789027,1,1214,hip hop
chillhop,-2.9296484,9.890667,-10.84613,562,0.000772817,1,1214,hip hop
turntablism,-1.3249941,12.828123,-15.849832000000001,2072,0.000676857,1,1214,hip hop
lo-fi beats,-2.7142262,9.495083000000001,-10.139856,126,0.0006592560000000001,1,1214,hip hop
atl hip hop,4.45147,14.452654999999998,-14.653326000000002,3411,0.00065188,1,1214,hip hop
conscious hip hop,0.9418118000000001,14.826599,-14.438382999999998,2922,0.000629247,1,1214,hip hop
dark trap,4.727109400000001,9.724374000000001,-11.253917999999999,1263,0.000473638,1,1214,hip hop
hyperpop,-1.734778,17.525856,-8.629286,2084,0.000435108,1,1214,hip hop
emo rap,4.740796,9.826454,-10.89551,2768,0.000428189,1,1214,hip hop
neo r&b,-4.437978299999999,14.491228,-6.522121,673,0.00042025900000000003,1,1214,hip hop
melodic rap,5.4018497000000005,11.463886,-12.287485,2987,0.00041640800000000006,1,1214,hip hop
canadian hip hop,3.339172,14.997020999999998,-6.5502515,360,0.00041570199999999994,1,1214,hip hop
jazz boom bap,-2.93927,10.347059,-11.34399,1193,0.00041326599999999997,1,1214,hip hop
trap soul,2.494349,15.216039000000002,-6.053106,1192,0.000399163,1,1214,hip hop
crunk,6.346518,15.003138,-14.380298999999999,543,0.000394343,1,1214,hip hop
post-hardcore,0.41550633,16.952341,-9.191169,1039,0.000389736,1,1214,hip hop
deep underground hip hop,5.029889,15.306251999999999,-6.618562,3136,0.000344468,1,1214,hip hop
old school hip hop,0.94846153,11.764864999999999,-14.884822,2543,0.000324974,1,1214,hip hop
uk contemporary r&b,-3.2163181,15.170857,-4.932154,1291,0.00031864700000000003,1,1214,hip hop
chicago rap,3.097283,16.980832999999997,-11.176965,73,0.000299033,1,1214,hip hop
indie pop rap,5.0899324,15.313495000000001,-6.6228867,2395,0.00027420099999999996,1,1214,hip hop
deep southern trap,6.3998555999999995,14.306181,-13.480487,502,0.000270302,1,1214,hip hop
miami hip hop,6.479133,12.091905,-10.5930395,2699,0.00026063599999999996,1,1214,hip hop
queens hip hop,0.58812577,12.65438,-13.456601999999998,2248,0.000247755,1,1214,hip hop
boom bap,-0.43764505,13.787388,-13.028992,2112,0.0002398,1,1214,hip hop
afrofuturism,-2.9180527,14.366937,-7.9915667,395,0.000229428,1,1214,hip hop
phonk,4.195046400000001,9.185734,-10.578691000000001,3128,0.00021107599999999998,1,1214,hip hop
toronto rap,3.4158242,14.628254,-6.9486623,1048,0.000208972,1,1214,hip hop
memphis hip hop,5.6446505,14.981303,-13.304015,1481,0.000203892,1,1214,hip hop
new jersey rap,0.70943004,13.081756,-12.54009,3513,0.000199019,1,1214,hip hop
houston rap,6.394753,15.428453,-12.9391775,996,0.00019544900000000002,1,1214,hip hop
jazz rap,-1.3598448,12.117925999999999,-13.13585,2009,0.00019251,1,1214,hip hop
abstract hip hop,-1.7601541,14.807602,-10.918557,2500,0.00019086,1,1214,hip hop
drill,3.4482405,16.819681,-10.881192,2405,0.00018688,1,1214,hip hop
atl trap,5.2588315,13.494307999999998,-12.671213,873,0.00018136400000000002,1,1214,hip hop
bronx hip hop,0.21299823,11.962565,-13.777379000000002,2376,0.000169199,1,1214,hip hop
harlem hip hop,1.3270241000000003,11.692308,-14.330322,1905,0.000168083,1,1214,hip hop
new orleans rap,6.4165134,14.470745,-12.118362,3813,0.00016433599999999998,1,1214,hip hop
detroit hip hop,1.1022443000000002,14.458994,-11.675263000000001,792,0.000157186,1,1214,hip hop
battle rap,1.7950741999999997,13.5235,-12.937959,1836,0.000149066,1,1214,hip hop
philly rap,1.9436303,13.027575,-12.716159,3537,0.000130507,1,1214,hip hop
